date,Activision Blizzard,isPartial
2015-04-10,7,False
2015-04-11,1,False
2015-04-12,3,False
2015-04-13,2,False
2015-04-14,2,False
2015-04-15,1,False
2015-04-16,3,False
2015-04-17,2,False
2015-04-18,2,False
2015-04-19,3,False
2015-04-20,2,False
2015-04-21,3,False
2015-04-22,2,False
2015-04-23,3,False
2015-04-24,2,False
2015-04-25,1,False
2015-04-26,1,False
2015-04-27,6,False
2015-04-28,3,False
2015-04-29,2,False
2015-04-30,6,False
2015-05-01,2,False
2015-05-02,5,False
2015-05-03,1,False
2015-05-04,4,False
2015-05-05,6,False
2015-05-06,7,False
2015-05-07,10,False
2015-05-08,6,False
2015-05-09,3,False
2015-05-10,4,False
2015-05-11,3,False
2015-05-12,3,False
2015-05-13,2,False
2015-05-14,4,False
2015-05-15,3,False
2015-05-16,5,False
2015-05-17,3,False
2015-05-18,3,False
2015-05-19,4,False
2015-05-20,6,False
2015-05-21,0,False
2015-05-22,3,False
2015-05-23,1,False
2015-05-24,1,False
2015-05-25,1,False
2015-05-26,2,False
2015-05-27,2,False
2015-05-28,1,False
2015-05-29,2,False
2015-05-30,1,False
2015-05-31,2,False
2015-06-01,2,False
2015-06-02,4,False
2015-06-03,5,False
2015-06-04,3,False
2015-06-05,1,False
2015-06-06,2,False
2015-06-07,1,False
2015-06-08,2,False
2015-06-09,6,False
2015-06-10,2,False
2015-06-11,2,False
2015-06-12,2,False
2015-06-13,0,False
2015-06-14,1,False
2015-06-15,1,False
2015-06-16,4,False
2015-06-17,3,False
2015-06-18,3,False
2015-06-19,3,False
2015-06-20,1,False
2015-06-21,3,False
2015-06-22,1,False
2015-06-23,2,False
2015-06-24,1,False
2015-06-25,2,False
2015-06-26,1,False
2015-06-27,1,False
2015-06-28,2,False
2015-06-29,2,False
2015-06-30,2,False
2015-07-01,2,False
2015-07-02,2,False
2015-07-03,1,False
2015-07-04,4,False
2015-07-05,3,False
2015-07-06,4,False
2015-07-07,3,False
2015-07-08,2,False
2015-07-09,5,False
2015-07-10,3,False
2015-07-11,2,False
2015-07-12,1,False
2015-07-13,3,False
2015-07-14,3,False
2015-07-15,1,False
2015-07-16,1,False
2015-07-17,3,False
2015-07-18,1,False
2015-07-19,2,False
2015-07-20,5,False
2015-07-21,2,False
2015-07-22,3,False
2015-07-23,6,False
2015-07-24,3,False
2015-07-25,1,False
2015-07-26,4,False
2015-07-27,3,False
2015-07-28,1,False
2015-07-29,2,False
2015-07-30,3,False
2015-07-31,1,False
2015-08-01,2,False
2015-08-02,1,False
2015-08-03,2,False
2015-08-04,9,False
2015-08-05,19,False
2015-08-06,7,False
2015-08-07,5,False
2015-08-08,4,False
2015-08-09,7,False
2015-08-10,6,False
2015-08-11,5,False
2015-08-12,6,False
2015-08-13,4,False
2015-08-14,4,False
2015-08-15,1,False
2015-08-16,1,False
2015-08-17,2,False
2015-08-18,3,False
2015-08-19,3,False
2015-08-20,2,False
2015-08-21,2,False
2015-08-22,2,False
2015-08-23,1,False
2015-08-24,5,False
2015-08-25,5,False
2015-08-26,3,False
2015-08-27,4,False
2015-08-28,4,False
2015-08-29,4,False
2015-08-30,1,False
2015-08-31,2,False
2015-09-01,2,False
2015-09-02,3,False
2015-09-03,1,False
2015-09-04,4,False
2015-09-05,4,False
2015-09-06,1,False
2015-09-07,4,False
2015-09-08,2,False
2015-09-09,2,False
2015-09-10,2,False
2015-09-11,4,False
2015-09-12,4,False
2015-09-13,3,False
2015-09-14,5,False
2015-09-15,2,False
2015-09-16,2,False
2015-09-17,4,False
2015-09-18,3,False
2015-09-19,1,False
2015-09-20,1,False
2015-09-21,3,False
2015-09-22,3,False
2015-09-23,2,False
2015-09-24,4,False
2015-09-25,4,False
2015-09-26,3,False
2015-09-27,2,False
2015-09-28,2,False
2015-09-29,4,False
2015-09-30,2,False
2015-10-01,5,False
2015-10-02,4,False
2015-10-03,3,False
2015-10-04,3,False
2015-10-05,3,False
2015-10-06,4,False
2015-10-07,3,False
2015-10-08,2,False
2015-10-09,5,False
2015-10-10,3,False
2015-10-11,1,False
2015-10-12,1,False
2015-10-13,5,False
2015-10-14,2,False
2015-10-15,6,False
2015-10-16,2,False
2015-10-17,2,False
2015-10-18,1,False
2015-10-19,7,False
2015-10-20,6,False
2015-10-21,3,False
2015-10-22,6,False
2015-10-23,7,False
2015-10-24,3,False
2015-10-25,3,False
2015-10-26,7,False
2015-10-27,6,False
2015-10-28,5,False
2015-10-29,5,False
2015-10-30,6,False
2015-10-31,1,False
2015-11-01,2,False
2015-11-02,9,False
2015-11-03,100,False
2015-11-04,36,False
2015-11-05,22,False
2015-11-06,28,False
2015-11-07,26,False
2015-11-08,14,False
2015-11-09,22,False
2015-11-10,13,False
2015-11-11,11,False
2015-11-12,7,False
2015-11-13,5,False
2015-11-14,5,False
2015-11-15,7,False
