date,Kraft Heinz,isPartial
2017-01-19,5,False
2017-01-20,4,False
2017-01-21,3,False
2017-01-22,4,False
2017-01-23,7,False
2017-01-24,6,False
2017-01-25,9,False
2017-01-26,9,False
2017-01-27,10,False
2017-01-28,3,False
2017-01-29,5,False
2017-01-30,6,False
2017-01-31,4,False
2017-02-01,7,False
2017-02-02,6,False
2017-02-03,7,False
2017-02-04,4,False
2017-02-05,4,False
2017-02-06,11,False
2017-02-07,7,False
2017-02-08,8,False
2017-02-09,6,False
2017-02-10,6,False
2017-02-11,4,False
2017-02-12,3,False
2017-02-13,8,False
2017-02-14,6,False
2017-02-15,9,False
2017-02-16,11,False
2017-02-17,100,False
2017-02-18,44,False
2017-02-19,54,False
2017-02-20,40,False
2017-02-21,26,False
2017-02-22,20,False
2017-02-23,15,False
2017-02-24,10,False
2017-02-25,6,False
2017-02-26,8,False
2017-02-27,9,False
2017-02-28,11,False
2017-03-01,10,False
2017-03-02,11,False
2017-03-03,7,False
2017-03-04,4,False
2017-03-05,5,False
2017-03-06,7,False
2017-03-07,9,False
2017-03-08,7,False
2017-03-09,6,False
2017-03-10,7,False
2017-03-11,3,False
2017-03-12,4,False
2017-03-13,7,False
2017-03-14,8,False
2017-03-15,9,False
2017-03-16,8,False
2017-03-17,9,False
2017-03-18,4,False
2017-03-19,3,False
2017-03-20,7,False
2017-03-21,7,False
2017-03-22,6,False
2017-03-23,11,False
2017-03-24,6,False
2017-03-25,4,False
2017-03-26,3,False
2017-03-27,9,False
2017-03-28,10,False
2017-03-29,9,False
2017-03-30,7,False
2017-03-31,7,False
2017-04-01,3,False
2017-04-02,4,False
2017-04-03,7,False
2017-04-04,10,False
2017-04-05,8,False
2017-04-06,10,False
2017-04-07,8,False
2017-04-08,3,False
2017-04-09,4,False
2017-04-10,7,False
2017-04-11,10,False
2017-04-12,8,False
2017-04-13,9,False
2017-04-14,4,False
2017-04-15,4,False
2017-04-16,5,False
2017-04-17,6,False
2017-04-18,8,False
2017-04-19,6,False
2017-04-20,7,False
2017-04-21,4,False
2017-04-22,3,False
2017-04-23,5,False
2017-04-24,8,False
2017-04-25,5,False
2017-04-26,8,False
2017-04-27,7,False
2017-04-28,5,False
2017-04-29,5,False
2017-04-30,3,False
2017-05-01,6,False
2017-05-02,7,False
2017-05-03,13,False
2017-05-04,11,False
2017-05-05,10,False
2017-05-06,8,False
2017-05-07,4,False
2017-05-08,7,False
2017-05-09,7,False
2017-05-10,10,False
2017-05-11,6,False
2017-05-12,4,False
2017-05-13,2,False
2017-05-14,3,False
2017-05-15,6,False
2017-05-16,10,False
2017-05-17,6,False
2017-05-18,9,False
2017-05-19,5,False
2017-05-20,3,False
2017-05-21,2,False
2017-05-22,8,False
2017-05-23,11,False
2017-05-24,5,False
2017-05-25,6,False
2017-05-26,4,False
2017-05-27,7,False
2017-05-28,3,False
2017-05-29,3,False
2017-05-30,13,False
2017-05-31,5,False
2017-06-01,9,False
2017-06-02,4,False
2017-06-03,2,False
2017-06-04,4,False
2017-06-05,10,False
2017-06-06,8,False
2017-06-07,5,False
2017-06-08,8,False
2017-06-09,5,False
2017-06-10,2,False
2017-06-11,4,False
2017-06-12,4,False
2017-06-13,8,False
2017-06-14,7,False
2017-06-15,6,False
2017-06-16,6,False
2017-06-17,4,False
2017-06-18,4,False
2017-06-19,7,False
2017-06-20,6,False
2017-06-21,7,False
2017-06-22,6,False
2017-06-23,6,False
2017-06-24,2,False
2017-06-25,4,False
2017-06-26,8,False
2017-06-27,6,False
2017-06-28,7,False
2017-06-29,7,False
2017-06-30,6,False
2017-07-01,1,False
2017-07-02,4,False
2017-07-03,5,False
2017-07-04,5,False
2017-07-05,8,False
2017-07-06,8,False
2017-07-07,9,False
2017-07-08,2,False
2017-07-09,2,False
2017-07-10,7,False
2017-07-11,10,False
2017-07-12,7,False
2017-07-13,5,False
2017-07-14,5,False
2017-07-15,4,False
2017-07-16,5,False
2017-07-17,7,False
2017-07-18,7,False
2017-07-19,5,False
2017-07-20,8,False
2017-07-21,10,False
2017-07-22,4,False
2017-07-23,4,False
2017-07-24,5,False
2017-07-25,7,False
2017-07-26,8,False
2017-07-27,8,False
2017-07-28,6,False
2017-07-29,5,False
2017-07-30,3,False
2017-07-31,7,False
2017-08-01,11,False
2017-08-02,8,False
2017-08-03,13,False
2017-08-04,10,False
2017-08-05,6,False
2017-08-06,0,False
2017-08-07,5,False
2017-08-08,6,False
2017-08-09,8,False
2017-08-10,9,False
2017-08-11,7,False
2017-08-12,6,False
2017-08-13,0,False
2017-08-14,10,False
2017-08-15,11,False
2017-08-16,6,False
2017-08-17,8,False
2017-08-18,6,False
2017-08-19,2,False
2017-08-20,3,False
2017-08-21,9,False
2017-08-22,8,False
2017-08-23,7,False
2017-08-24,6,False
2017-08-25,5,False
2017-08-26,6,False
2017-08-27,4,False
2017-08-28,4,False
2017-08-29,6,False
2017-08-30,5,False
2017-08-31,8,False
2017-09-01,6,False
2017-09-02,2,False
2017-09-03,1,False
2017-09-04,7,False
2017-09-05,7,False
2017-09-06,6,False
2017-09-07,10,False
2017-09-08,16,False
2017-09-09,10,False
2017-09-10,5,False
2017-09-11,16,False
2017-09-12,12,False
2017-09-13,14,False
2017-09-14,6,False
2017-09-15,9,False
2017-09-16,5,False
2017-09-17,7,False
2017-09-18,11,False
2017-09-19,10,False
2017-09-20,8,False
2017-09-21,10,False
2017-09-22,10,False
2017-09-23,5,False
2017-09-24,6,False
2017-09-25,11,False
2017-09-26,9,False
2017-09-27,8,False
2017-09-28,7,False
2017-09-29,5,False
2017-09-30,4,False
